 Device manufacturer OUI prefixes (first 6 hex chars of MAC, no colons)
# Format: OUI|Manufacturer
# Samsung Electronics
# HP / Hewlett Packard
00060D|HP
001083|HP
001185|HP
001279|HP
001321|HP
001635|HP
001708|HP
0017A4|HP
00188B|HP
001A4B|HP
001B78|HP
001CC4|HP
001E0B|HP
001F29|HP
002128|HP
00215A|HP
002264|HP
002314|HP
00237D|HP
0024A8|HP
002561|HP
0025B3|HP
0026F1|HP
0030C1|HP
080009|HP
10604B|HP
2C27D7|HP
2C44FD|HP
308D99|HP
38632D|HP
3C4A92|HP
3CA82A|HP
4092BC|HP
50657B|HP
643150|HP
6C3BE5|HP
80CE62|HP
8434E5|HP
8851FB|HP
8CDCD4|HP
94B87A|HP
9CB654|HP
A02BB8|HP
A0D3C1|HP
B499BA|HP
B4B52F|HP
C49DED|HP
C8CBB8|HP
D07E28|HP
D4C9EF|HP
D893F8|HP
D8D385|HP
E4115B|HP
E83935|HP
EC8EB5|HP
F0921C|HP
F4CE46|HP
FC15B4|HP
0001E6|HP
0001E7|HP
000802|HP
000883|HP
000EA7|HP
644C69|HP
# Lenovo
000E6A|Lenovo
001851|Lenovo
002315|Lenovo
002681|Lenovo
005056|Lenovo
00505B|Lenovo
102F6B|Lenovo
1866DA|Lenovo
1C1B0D|Lenovo
288023|Lenovo
2CAB25|Lenovo
308D99|Lenovo
3448ED|Lenovo
406C8F|Lenovo
48E7DA|Lenovo
4C11BF|Lenovo
547F54|Lenovo
5CF938|Lenovo
6C0B84|Lenovo
70778B|Lenovo
7C2A31|Lenovo
84A93E|Lenovo
8C16EA|Lenovo
8CC8CD|Lenovo
8CEC4B|Lenovo
9040C2|Lenovo
98FA9B|Lenovo
9C7514|Lenovo
A4B1C1|Lenovo
B4B676|Lenovo
C8D3FF|Lenovo
CC52AF|Lenovo
D0575F|Lenovo
D4D252|Lenovo
D8D09C|Lenovo
DC0EFF|Lenovo
E06C43|Lenovo
E0B9E5|Lenovo
E8F724|Lenovo
EC89F5|Lenovo
F0B4D2|Lenovo
F48C50|Lenovo
F81654|Lenovo
FC4463|Lenovo
# ASUS
000C6E|ASUS
000E65|ASUS
001731|ASUS
001A92|ASUS
001BFC|ASUS
001E8C|ASUS
002215|ASUS
002354|ASUS
0025D3|ASUS
002618|ASUS
049226|ASUS
08606E|ASUS
086266|ASUS
0C9D92|ASUS
107B44|ASUS
10C37B|ASUS
14DAE9|ASUS
14DDA9|ASUS
1831BF|ASUS
1C872C|ASUS
20CF30|ASUS
244BFE|ASUS
2C4D54|ASUS
2C56DC|ASUS
2CFDA1|ASUS
305A3A|ASUS
3085A9|ASUS
3497F6|ASUS
38D547|ASUS
485B39|ASUS
4CEDFB|ASUS
50465D|ASUS
54271E|ASUS
54A050|ASUS
60A44C|ASUS
6045CB|ASUS
6C198F|ASUS
74D02B|ASUS
7824AF|ASUS
88D7F6|ASUS
90E6BA|ASUS
9C5C8E|ASUS
ACDE48|ASUS
B06EBF|ASUS
BC5C4C|ASUS
C86000|ASUS
CC4B73|ASUS
D850E6|ASUS
E03F49|ASUS
E0CB4E|ASUS
F46D04|ASUS
F832E4|ASUS
FC3497|ASUS
# Acer
00012E|Acer
001089|Acer
0020E0|Acer
00241E|Acer
7885DD|Acer
98D331|Acer
A81D16|Acer
C0389F|Acer
C48508|Acer
D0D0D0|Acer
# Microsoft Surface
283A4D|Microsoft
28187D|Microsoft
28EE52|Microsoft
3CCD5D|Microsoft
489D24|Microsoft
5882A8|Microsoft
5CBA37|Microsoft
6045BD|Microsoft
7CB27D|Microsoft
7CED8D|Microsoft
9C2973|Microsoft
9C8B64|Microsoft
B4AE2B|Microsoft
C8D9D2|Microsoft
D434F6|Microsoft
DC5360|Microsoft
E0D36F|Microsoft
70A8A5|Microsoft
# ==================
# AUDIO / HEADPHONES
# ==================
# Bose
0CB2E2|Bose
04D4C4|Bose
04522F|Bose
60AB67|Bose
F42896|Bose
88FDA1|Bose
D86855|Bose
# Sony (Audio)
001A80|Sony
0013A9|Sony
001D0D|Sony
001E45|Sony
001FA7|Sony
00236E|Sony
002567|Sony
0024BE|Sony
00269A|Sony
006651|Sony
04128E|Sony
283737|Sony
30A9DE|Sony
40B837|Sony
58481C|Sony
6C236B|Sony
6C8FB5|Sony
70771F|Sony
78843C|Sony
94CE2C|Sony
A00498|Sony
A4D18C|Sony
C8E8A1|Sony
D8D43C|Sony
F04F7C|Sony
FC0F4B|Sony
# JBL / Harman
109FA9|JBL
5032A8|JBL
9447BF|JBL
FC3F7C|JBL
FCF8B7|JBL
# Beats (Apple subsidiary)
1CBA8C|Beats
B07F94|Beats
E064BB|Beats
# Skullcandy
E88F16|Skullcandy
# Jabra / GN Audio
6CFBED|Jabra
5C8D4E|Jabra
9013C0|Jabra
A02B95|Jabra
# Plantronics
000A3A|Plantronics
0004F2|Plantronics
00226B|Plantronics
345BBB|Plantronics
6CA5EF|Plantronics
74F61C|Plantronics
80C5F2|Plantronics
# Sennheiser
00045E|Sennheiser
0C8D4E|Sennheiser
# ==================
# SMARTWATCHES / WEARABLES
# ==================
# Fitbit
00192F|Fitbit
382185|Fitbit
5C6BDA|Fitbit
A0E9DB|Fitbit
C06304|Fitbit
C43193|Fitbit
CC94E5|Fitbit
D8A387|Fitbit
# Garmin
000EDD|Garmin
001C66|Garmin
00359B|Garmin
006FD5|Garmin
# Fossil / Misfit
E02FE7|Fossil
# ==================
# SMART HOME / IoT
# ==================
# Amazon (Echo, Fire, Ring, etc)
00FC8B|Amazon
0034DA|Amazon
04E9E5|Amazon
087F98|Amazon
10CE5E|Amazon
18742E|Amazon
1C12B0|Amazon
1CF86B|Amazon
28F036|Amazon
2C5463|Amazon
34D270|Amazon
38F73D|Amazon
40A2DB|Amazon
40B4CD|Amazon
440444|Amazon
4479D4|Amazon
44D7F5|Amazon
4C3FD3|Amazon
50DC71|Amazon
50F5DA|Amazon
5818CC|Amazon
58A226|Amazon
5C415A|Amazon
6837E9|Amazon
68540B|Amazon
68B69D|Amazon
68DB97|Amazon
6C5697|Amazon
747548|Amazon
74C246|Amazon
7C8BB5|Amazon
7CD9A0|Amazon
7CFEA0|Amazon
840D8E|Amazon
842859|Amazon
84D6D0|Amazon
88716A|Amazon
88712B|Amazon
88C991|Amazon
90CA6B|Amazon
94F6A3|Amazon
94C6EB|Amazon
98F4AB|Amazon
9C84BF|Amazon
A0024A|Amazon
A002DB|Amazon
A40270|Amazon
A459DA|Amazon
A4F3C1|Amazon
AC63BE|Amazon
B061A8|Amazon
B0FC0D|Amazon
B46CF2|Amazon
B47C9C|Amazon
C0EE40|Amazon
C8291E|Amazon
C84F0D|Amazon
D01FC3|Amazon
D4A8FA|Amazon
D85833|Amazon
DC54D7|Amazon
E09E7E|Amazon
E0CB1D|Amazon
E82C6D|Amazon
EC382A|Amazon
EC8A4C|Amazon
F0272D|Amazon
F08175|Amazon
F0D2F1|Amazon
F09FC2|Amazon
F8AB05|Amazon
FC65DE|Amazon
FCD749|Amazon
FE7C79|Amazon
08F01E|Amazon
3CA070|Amazon
2873F6|Amazon
64CDC2|Amazon
4C60AD|Amazon
008621|Amazon
# Google Home / Nest / Chromecast
18D6C7|Google
2CB05D|Google
5C32A3|Google
54609A|Google
6C6A77|Google
94B97E|Google
94EB2C|Google
A4070C|Google
A479E4|Google
B4CE40|Google
D8E8D7|Google
E4F0C7|Google
E4F0CB|Google
E8A503|Google
F47261|Google
F4F5D8|Google
F4F5E8|Google
F8B46A|Google
# Philips Hue
001788|Philips
ECB5FA|Philips
# Ring (Amazon)
242BD6|Ring
# Sonos
0004ED|Sonos
000E58|Sonos
001CA4|Sonos
34D3D1|Sonos
4411C3|Sonos
4C1E06|Sonos
4CFE62|Sonos
549953|Sonos
5C8A38|Sonos
7845C4|Sonos
787E61|Sonos
7A45C3|Sonos
940F7E|Sonos
949F3E|Sonos
9C5C8D|Sonos
A8101D|Sonos
B8E937|Sonos
C438B1|Sonos
CC70AD|Sonos
DC9BF7|Sonos
F0F6C1|Sonos
# ==================
# GAME CONSOLES
# ==================
# Nintendo
002108|Nintendo
002659|Nintendo
0023CC|Nintendo
002444|Nintendo
002567|Nintendo
002709|Nintendo
0060B0|Nintendo
34AF2C|Nintendo
40D28A|Nintendo
58BDA3|Nintendo
5C521E|Nintendo
7048F7|Nintendo
78A2A0|Nintendo
7CBB8A|Nintendo
8C56C5|Nintendo
8CCDE8|Nintendo
98B6E9|Nintendo
9CE635|Nintendo
A45C27|Nintendo
A4C0E1|Nintendo
B88AEC|Nintendo
C0CF2F|Nintendo
CC9E00|Nintendo
CCFB65|Nintendo
D86BF7|Nintendo
DC68EB|Nintendo
E00C7F|Nintendo
E0E751|Nintendo
E84ECE|Nintendo
ECC40D|Nintendo
601AC7|Nintendo
# Sony PlayStation
0004E1|PlayStation
001315|PlayStation
0015C1|PlayStation
0015AD|PlayStation
001D0D|PlayStation
001FA7|PlayStation
00269A|PlayStation
0026B9|PlayStation
0CFE45|PlayStation
28C28C|PlayStation
2C8C08|PlayStation
30FD38|PlayStation
70662A|PlayStation
780E80|PlayStation
C8631D|PlayStation
D44B5E|PlayStation
E89681|PlayStation
FC0FE6|PlayStation
FCB48C|PlayStation
# Microsoft Xbox
50F5DA|Xbox
747548|Xbox
98E743|Xbox
B4B52F|Xbox
EC83D0|Xbox
# ==================
# SMART TVs
# ==================
# LG TV
00052A|LG-TV
0010F3|LG-TV
10683F|LG-TV
# Roku
B0A737|Roku
B83E59|Roku
BC3AEA|Roku
C8C7E0|Roku
CC6DA0|Roku
D024C1|Roku
DC3A5E|Roku
DCFE18|Roku
DC0256|Roku
# NVIDIA Shield
001FC6|NVIDIA
043D29|NVIDIA
48B02D|NVIDIA
# ==================
# CARS / AUTOMOTIVE
# ==================
# Tesla
00D43D|Tesla
4C77D3|Tesla
# BMW
0001FA|BMW
001CB1|BMW
0024EF|BMW
002A6A|BMW
4CC990|BMW

